scorer,DLC_resnet50_TESTNov1shuffle1_10,DLC_resnet50_TESTNov1shuffle1_10,DLC_resnet50_TESTNov1shuffle1_10,DLC_resnet50_TESTNov1shuffle1_10,DLC_resnet50_TESTNov1shuffle1_10,DLC_resnet50_TESTNov1shuffle1_10,DLC_resnet50_TESTNov1shuffle1_10,DLC_resnet50_TESTNov1shuffle1_10,DLC_resnet50_TESTNov1shuffle1_10,DLC_resnet50_TESTNov1shuffle1_10,DLC_resnet50_TESTNov1shuffle1_10,DLC_resnet50_TESTNov1shuffle1_10
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,8.413285255432129,6.2151079177856445,0.3572055697441101,13.211597442626953,647.34375,0.4974837005138397,569.93798828125,11.33425235748291,0.3613947033882141,5.290456295013428,8.72543716430664,0.3154425024986267
1,631.8509521484375,6.2151079177856445,0.38848698139190674,13.211597442626953,647.34375,0.5641800761222839,570.9384765625,20.13250732421875,0.4086758494377136,5.298624038696289,8.72543716430664,0.3802582025527954
2,631.8509521484375,7.136680603027344,0.4440997540950775,13.211597442626953,647.9320068359375,0.6155396103858948,578.3926391601562,20.13250732421875,0.42611822485923767,5.298624038696289,8.853732109069824,0.3527229428291321
3,631.1591796875,7.136680603027344,0.42133909463882446,13.211597442626953,647.9320068359375,0.5980365872383118,653.9548950195312,20.13250732421875,0.4206419587135315,5.298624038696289,8.72543716430664,0.3260756731033325
4,631.8471069335938,6.096493244171143,0.3380768299102783,12.42109489440918,648.14404296875,0.5361292362213135,578.3926391601562,20.13250732421875,0.4302763342857361,5.308689117431641,8.72543716430664,0.3785049617290497
5,631.8471069335938,6.096493244171143,0.34035831689834595,12.42109489440918,647.9320068359375,0.5259270668029785,653.9548950195312,20.100271224975586,0.41751593351364136,5.308689117431641,8.789230346679688,0.30093932151794434
6,631.1591796875,6.096493244171143,0.34288540482521057,12.42109489440918,648.30859375,0.615888237953186,653.9548950195312,12.415346145629883,0.4300139844417572,5.308689117431641,9.205575942993164,0.38021957874298096
7,631.8471069335938,5.801427841186523,0.40588852763175964,12.642803192138672,648.30859375,0.6206566095352173,652.5368041992188,20.100271224975586,0.4246949553489685,5.308689117431641,8.883001327514648,0.36629998683929443
8,631.8471069335938,6.096493244171143,0.36189037561416626,12.42109489440918,648.30859375,0.547895073890686,652.5368041992188,12.415346145629883,0.39964091777801514,6.814148902893066,9.613395690917969,0.35408926010131836
9,633.0449829101562,5.801427841186523,0.3740348517894745,12.642803192138672,648.1595458984375,0.6151701211929321,652.5368041992188,12.415346145629883,0.37988337874412537,6.108504772186279,8.883001327514648,0.36790525913238525
10,615.7688598632812,0.0,0.3637561500072479,12.29165267944336,648.1595458984375,0.4713042974472046,566.4051513671875,11.364957809448242,0.37953394651412964,6.108504772186279,8.883001327514648,0.38541722297668457
11,26.99136734008789,0.0,0.35034453868865967,12.29165267944336,623.9790649414062,0.5338685512542725,0.15202832221984863,9.359275817871094,0.34264370799064636,5.145586013793945,8.6190824508667,0.34296220541000366
